Film_id,Production_id
2,1
2,2
5,3
14,4
14,5
14,6
16,7
16,8
16,9
18,10
18,11
19,12
26,13
41,14
41,15
41,16
41,17
41,18
42,19
44,20
44,21
45,22
45,23
45,24
48,25
48,26
50,27
51,28
55,29
55,30
55,31
55,32
55,33
58,34
58,35
58,36
59,37
60,38
60,39
60,40
60,41
60,42
61,43
65,44
79,45
80,46
80,47
81,48
81,49
81,50
83,51
85,52
85,53
86,54
87,55
89,56
90,57
90,58
90,59
93,60
93,61
94,62
95,63
95,64
95,65
96,66
96,67
96,68
97,69
101,70
102,71
102,72
104,73
104,74
104,75
104,76
104,77
105,78
105,79
105,80
108,81
109,82
109,83
109,84
109,85
110,86
111,57
111,87
112,88
113,89
114,90
114,91
114,92
114,93
114,94
114,95
115,46
115,96
115,97
118,98
118,1
118,99
118,5
119,17
119,100
121,101
121,102
121,46
123,103
123,104
124,105
127,63
127,106
127,107
129,108
129,109
130,110
131,111
132,52
133,112
133,113
133,114
133,115
133,116
133,117
134,108
136,78
136,118
139,119
139,120
139,121
139,122
140,123
142,1
144,71
144,124
145,125
146,52
146,126
147,127
147,128
147,129
147,130
148,131
151,46
151,132
151,133
152,1
153,17
153,134
153,135
153,136
153,137
153,138
153,139
154,140
155,141
156,103
156,142
157,143
157,17
157,144
157,145
158,146
159,52
160,147
164,17
164,146
169,111
169,148
170,140
174,149
174,150
174,92
174,151
174,152
174,153
176,154
179,88
183,110
184,155
184,71
185,156
187,63
188,1
188,157
193,158
194,111
194,159
196,160
198,56
198,71
198,161
198,162
199,140
201,104
201,163
202,164
202,165
202,166
202,167
202,168
203,169
203,60
204,170
204,171
204,172
204,173
204,174
204,175
204,176
204,177
204,178
204,179
204,180
204,181
204,182
204,183
204,184
204,185
205,186
207,187
208,188
208,189
208,190
210,191
210,71
210,192
210,193
212,194
212,74
213,66
213,160
213,195
215,28
220,50
220,196
223,197
224,198
224,199
224,200
224,201
224,202
226,203
226,204
227,88
227,205
229,79
230,206
232,46
233,188
234,17
234,207
234,208
234,78
237,101
238,209
242,52
244,210
247,155
247,71
249,71
253,147
254,79
256,211
256,212
256,151
258,213
258,168
261,214
262,215
262,216
264,71
266,111
267,217
267,218
268,219
268,168
270,220
270,221
270,222
270,223
270,224
270,225
270,226
270,227
271,140
272,228
272,229
272,230
272,231
272,232
274,1
274,2
276,92
276,233
277,234
278,17
278,235
279,52
281,236
281,237
281,238
281,239
281,240
281,241
281,242
281,243
281,244
281,245
281,246
281,247
281,248
281,249
281,250
281,251
281,252
282,78
282,253
283,110
285,66
286,10
286,254
286,2
287,193
287,188
287,255
287,1
288,256
289,257
289,86
290,258
290,105
291,259
291,260
291,261
292,262
295,66
295,263
295,264
297,265
297,266
297,267
297,111
299,268
307,269
307,270
307,271
313,272
313,273
313,274
313,275
315,28
316,276
316,277
318,79
318,118
319,278
319,78
319,279
319,280
323,281
323,25
326,63
326,282
327,283
332,284
334,285
334,105
334,286
335,214
337,287
343,288
343,289
343,290
343,291
343,292
348,83
348,293
350,258
357,294
357,295
360,1
360,296
362,297
365,285
365,298
366,258
366,105
369,110
371,105
374,299
374,300
377,301
378,152
378,92
380,71
380,302
380,56
381,303
381,63
381,304
381,305
381,306
382,71
382,307
383,308
385,309
385,310
387,311
387,312
387,231
387,313
387,314
389,1
390,155
392,315
395,10
395,316
395,317
398,138
398,318
400,1
400,319
402,63
402,191
402,192
403,56
403,215
403,188
405,88
405,320
405,253
406,82
406,321
412,322
412,323
413,324
414,325
414,66
414,229
414,160
414,326
415,285
415,1
417,327
417,328
420,275
420,329
420,330
420,331
420,332
428,326
428,71
428,295
428,193
430,333
433,334
441,335
443,336
444,337
444,66
444,338
444,339
445,340
445,341
445,342
446,125
446,343
447,188
447,277
450,344
451,326
454,35
455,345
457,346
457,347
457,326
459,348
463,71
463,349
463,103
468,159
472,350
475,309
475,95
475,351
475,214
475,352
475,353
475,354
476,285
476,355
476,356
478,155
478,357
478,71
486,10
486,358
486,359
487,360
493,101
493,361
493,362
498,363
498,364
498,365
498,366
498,367
498,1
498,108
498,368
499,209
500,277
500,369
501,140
503,370
503,371
507,188
507,372
507,262
509,373
512,374
512,79
512,104
513,111
513,375
513,376
516,377
516,378
516,379
516,380
520,27
521,381
523,382
523,374
523,104
523,17
524,161
524,266
526,383
526,188
526,384
526,385
528,386
528,387
528,169
529,388
531,140
531,225
533,15
533,389
534,71
534,103
534,390
535,387
540,351
541,391
541,392
541,393
541,394
541,395
542,396
544,397
545,188
545,108
545,398
546,399
546,400
546,266
546,401
546,402
546,109
546,403
547,285
547,404
549,405
551,406
551,407
552,408
553,409
553,188
553,406
553,410
557,411
560,412
563,413
568,414
573,46
573,233
575,63
575,415
576,25
576,1
576,416
576,296
576,417
579,418
579,419
579,17
581,420
585,104
586,223
586,421
588,361
589,422
590,285
590,423
591,63
591,106
592,424
592,425
597,426
597,427
600,428
600,429
600,430
600,431
603,432
603,433
603,434
603,435
603,436
603,437
603,438
603,439
603,440
603,441
603,442
603,443
603,444
603,445
603,330
603,446
603,240
603,273
603,269
603,447
603,448
603,449
606,450
606,451
606,452
606,257
609,453
617,454
618,455
619,155
622,453
625,456
629,457
629,280
629,458
629,459
632,460
632,259
633,461
634,462
634,205
636,232
636,463
636,66
636,464
636,68
636,465
641,209
642,71
642,325
642,83
643,466
644,467
644,468
644,469
646,140
647,470
651,234
652,471
654,223
654,472
654,473
654,474
655,475
655,476
660,477
663,266
663,277
665,478
668,479
668,10
668,480
668,481
668,140
669,258
669,105
670,482
673,483
673,296
673,484
680,485
680,486
680,487
682,152
682,46
682,488
682,92
683,489
683,490
685,491
685,492
687,493
689,110
690,494
690,495
692,433
693,496
693,497
693,498
695,28
699,78
699,499
701,500
701,296
701,501
703,502
705,376
709,258
709,105
712,503
716,504
716,5
716,505
716,506
717,507
717,63
717,296
717,151
717,508
718,509
726,101
726,152
727,510
727,131
727,511
727,296
728,512
728,296
728,513
728,514
728,515
728,516
728,517
728,518
730,519
730,520
733,521
736,522
738,523
738,524
738,525
741,285
741,526
741,481
742,527
746,234
748,285
748,528
748,15
751,104
751,17
751,529
751,103
751,530
752,46
752,531
755,481
755,532
756,533
756,534
756,334
756,535
757,83
757,536
758,223
758,448
758,421
759,537
760,63
760,286
761,538
761,71
761,539
761,214
761,540
763,223
763,541
763,1
763,85
763,542
763,326
764,543
764,544
768,545
770,546
771,547
775,17
775,531
780,158
782,78
782,548
782,451
783,549
783,550
783,551
783,552
784,285
784,553
784,554
786,555
786,223
786,556
792,557
795,558
795,559
796,560
796,561
796,562
798,10
799,563
799,88
799,205
799,564
800,565
800,188
800,345
800,566
800,567
802,52
803,385
803,56
803,568
803,569
803,570
803,188
803,571
805,572
805,351
805,573
805,214
809,574
809,63
809,575
809,362
815,539
815,576
816,63
817,154
818,576
822,140
823,577
823,92
823,282
823,578
824,63
824,579
825,580
826,1
828,294
829,88
829,581
833,56
833,86
833,582
834,583
834,448
834,223
834,244
834,269
834,584
835,514
835,585
835,586
836,587
839,588
839,589
840,354
840,590
849,591
851,214
851,592
851,547
854,63
854,593
854,594
861,193
861,595
862,596
863,154
863,597
863,598
865,599
870,600
871,601
871,5
871,602
871,603
873,604
878,605
881,606
881,351
881,73
881,214
881,607
883,292
884,608
884,609
884,610
884,387
884,611
884,256
884,16
885,555
885,556
886,612
886,613
886,614
886,93
886,451
886,233
886,615
893,616
893,617
893,88
893,223
893,71
893,126
895,618
895,619
895,223
895,620
895,600
895,555
896,285
896,404
896,621
899,158
901,622
901,623
902,105
904,624
905,625
908,46
908,626
909,627
909,449
909,628
909,584
911,285
911,356
916,629
917,1
917,630
917,631
919,71
925,632
925,68
925,633
925,634
925,635
931,636
932,298
932,637
932,71
932,638
932,639
934,640
936,641
938,339
938,638
941,642
941,643
941,644
941,645
941,628
941,646
941,244
941,647
941,223
941,648
941,649
941,352
941,650
943,110
945,45
952,651
952,652
952,653
955,654
955,168
956,655
957,500
961,656
962,657
964,658
964,182
964,282
964,659
964,516
965,140
966,626
966,660
966,661
967,662
980,663
980,664
980,665
980,666
980,667
986,668
989,161
990,63
990,669
990,670
991,78
991,671
994,158
995,672
997,140
997,466
998,673
998,674
999,516
1000,675
1001,676
1001,353
1002,677
1002,266
1003,678
1003,188
1003,679
1003,385
1009,680
1012,681
1012,682
1012,683
1012,292
1015,684
1018,685
1018,686
1019,687
1019,688
1021,689
1025,690
1028,691
1028,159
1028,544
1034,668
1035,692
1037,693
1038,88
1038,133
1038,694
1044,141
1044,53
1049,695
1049,696
1049,697
1049,698
1049,699
1049,700
1049,701
1049,702
1049,703
