id,fullName
301,Jake Scott
302,Wes Craven
303,Anthony Minghella
304,Ang Lee
305,Joel Schumacher
306,William Dear
307,Jay Roach
308,Bruce Paltrow
309,Coke Sams
310,Ian Sears
311,David Twohy
312,Tony Giglio
313,Walter Hill
314,Michael Storey
315,Irving Belateche
316,Aleksandr Shabatayev
317,Tom Shell
318,Peter Thorwarth
319,Andreas Dresen
320,Dennis Gansel
321,Jim O'Malley
322,Paige Taylor
323,Kutlug Ataman
324,Brad Keller
325,Douglas TenNapel
326,Stephen Szklarski
327,Matthew Leutwyler
328,Daniel Wozniak
329,Hans Åke Gabrielsson
330,Tim Grace
331,Risa Bramon Garcia
332,Mark Pellington
333,Michael W. Johnson
334,Jon Amiel
335,David Fincher
336,Stephen Lyons
337,Ron Termaat
338,Barnet Kellman
339,Nancy Savoca
340,Aaron Rotan
341,Thomas J. La Sorsa
342,Rand Ravich
343,Adrian Pasdar
344,Todd Edwards
345,John H. Lee
346,Julie Money
347,Aleta Chappelle
348,Christopher Livingston
349,Lori Fontanes
350,Rodman Flender
351,Matthew Modine
352,Yi-wen Chen
353,Lynda Heys
354,Adam Abraham
355,Ted Schillinger
356,Paul Lombardo
357,Michael Schoemann
358,Dean Murphy
359,Myles Connell
360,Peter Flinth
361,Roberto Busó-García
362,Michael Swanhaus
363,TheWorldFamous Ike
364,Bibo Bergeron
365,Don Paul
366,Jeffrey Katzenberg
367,Eric Mandelbaum
368,Mario Andreacchio
369,Debrah LeMattre
370,Douglas Green
371,Ernie Clark
372,Meredith Scott Lynn
373,Bradford Tatum
374,Tom Donaghy
375,Robin Bextor
376,Paul Bryers
377,Tony Bui
378,Robert Mann
379,Barry Berman
380,James Gray
381,David Frye
382,Dean Parisot
383,Jon Glascoe
384,Joseph Pierson
385,Roger Kumble
386,John G. Avildsen
387,Jian Hong Kuo
388,Charles Koppelman
389,Tamara Olson
390,Doug Liman
391,Steven Feder
392,Bradley Battersby
393,James Beirne
394,Rob Tregenza
395,Pedro Costa
396,Antoine Fuqua
397,Douglas Jackson
398,Andrew Bergman
399,Peter Chelsom
400,Jonathan Mostow
401,Peter Gould
402,José Carlos de Oliveira
403,Lorenzo Doumani
404,Doug Pray
405,Mary Harron
406,Lisa Krueger
407,Peter Segal
408,Alexandra King
409,Evan Ricks
410,Alan Jacob
411,Ricardo Dias
412,Douglas Aarniokoski
413,Alkinos Tsilimidos
414,Imre Karáth
415,Godfrey Reggio
416,Mark Swan
417,Roger Donaldson
418,Simon West
419,Alain-Michel Blanc
420,Stephen Frears
421,Robert Redford
422,Tom Putnam
423,Joe Talbott
424,Shane Hawks
425,Ernest G. Sauer
426,Martin Davidson
427,Giorgio Serafini
428,Marek Kanievska
429,Billy Bob Thornton
430,James Keach
431,Mansoor Khan
432,Charles Solomon Jr.
433,Joe Grisaffi
434,Carl-Gustav Nykvist
435,Francisco Aragon
436,Giuseppe Bertolucci
437,Kjell Andersson
438,Bo Harringer
439,Stephen Wolfe
440,L.P. Brown III
441,John Sjogren
442,Francis Delia
443,Philip Haas
444,Grant Austin Waldman
445,Don E. FauntLeRoy
446,Dale G. Bradley
447,Brad Mays
448,John McNaughton
449,Ray Davies
450,Peter Patzak
451,Adele Bertei
452,Katherine Dieckmann
453,Peter Filardi
454,Claudia Heuermann
455,Scott Alexander
456,Larry Karaszewski
457,Jeffrey W. Byrd
458,Dan Bootzin
459,John Forte
460,Yahoo Serious
461,Jay Russell
462,John Schlesinger
463,Ron Krauss
464,Tim Boxell
465,Mark L. Lester
466,Robert Manganelli
467,Liv Ullmann
468,Glenn Klinker
469,Jonathan Frakes
470,Al Leong
471,Michael Apted
472,Tim Southam
473,Pat Murphy
474,Christine Parker
475,Måns Herngren
476,Hannes Holm
477,Michael Tierney
478,Brian Levant
479,Aage Rais-Nordentoft
480,Joe Tabb
481,Paul Geiger
482,John Moore
483,Philip Charles MacKenzie
484,Christopher Robin Hood
485,John E. Vitali
486,Caesar Cavaricci
487,József Rák
488,Joe Chappelle
489,Christian Duguay
490,McG
491,Bill Fishman
492,Jim Gillespie
493,Cherry Norris
494,Richard Caliban
495,Buddy Giovinazzo
496,Matt Gavin
497,Cristobal Krusen
498,Paul Rachman
499,David Gebroe
500,Gary Fleder
501,Stephen Kessler
502,Eckhart Schmidt
503,Lisa Abbatiello
504,Mari Kornhauser
505,Ralph E. Portillo
506,Yuri Biersach
507,Janusz Kaminski
508,Paul Nicholas
509,Michael Browning
510,Aleksandr Zeldovich
511,Christina Post
512,Thaddeus O'Sullivan
513,Dan McCormack
514,Alain Berliner
515,Doug Campbell
516,Martin Schenk
