Film_id,Writer_id
2,1
2,2
3,3
3,4
3,5
4,6
4,7
5,8
5,9
6,10
7,11
8,12
10,13
11,14
11,15
13,16
13,17
14,18
16,19
16,20
18,21
18,22
20,23
22,24
24,25
24,26
25,27
25,28
26,29
26,30
26,31
26,32
27,33
27,34
27,35
31,36
31,37
32,38
32,39
33,40
34,41
34,42
34,43
37,44
38,45
40,46
40,47
41,48
41,49
42,50
43,51
43,52
43,53
44,54
44,55
44,56
44,57
44,58
45,59
46,60
46,61
47,62
47,63
48,64
49,36
49,37
50,65
50,66
51,67
52,68
53,69
53,70
53,71
53,72
53,73
54,74
54,75
55,76
55,77
55,78
56,79
57,80
57,81
57,82
58,83
58,84
58,85
58,86
58,87
58,88
58,89
58,90
58,91
59,92
59,93
59,94
60,95
61,96
61,97
61,98
62,99
63,100
64,101
65,102
65,103
66,104
67,105
68,106
68,107
69,108
69,109
70,110
70,111
71,112
71,113
72,114
73,115
73,116
73,117
74,118
75,119
75,120
75,121
75,122
75,123
75,124
75,125
75,126
76,127
76,128
77,129
77,130
77,131
78,132
79,133
80,134
80,135
81,136
82,137
83,138
84,139
85,140
85,141
85,142
85,143
85,144
85,145
85,146
86,147
86,148
87,149
87,150
89,151
89,152
90,153
91,154
91,155
92,156
93,157
94,158
95,159
95,160
95,161
95,162
95,163
96,164
97,165
97,166
97,167
98,168
99,169
99,170
100,171
101,172
102,173
102,174
102,175
103,176
103,177
104,178
104,179
105,180
105,181
106,182
106,183
107,184
107,185
108,186
108,187
109,188
109,189
109,190
109,191
109,192
110,193
110,194
111,195
112,196
112,197
112,198
113,199
113,200
113,201
114,202
114,203
115,204
115,205
115,206
116,207
117,208
118,209
118,210
118,211
118,212
118,213
119,214
119,215
119,216
119,217
120,218
120,219
121,220
121,221
122,222
123,223
123,224
123,225
124,226
124,227
124,228
125,229
125,230
126,231
126,232
126,233
127,234
127,235
127,236
127,237
128,238
129,239
129,240
130,241
130,242
130,243
130,244
131,245
131,246
131,247
131,49
132,248
132,249
132,250
133,251
134,252
134,253
134,216
135,254
135,255
136,256
136,257
136,258
137,259
137,260
138,261
138,262
138,263
139,264
140,265
140,266
141,267
142,268
142,269
143,270
144,271
144,272
144,273
145,274
145,275
145,276
146,277
146,278
146,279
146,280
146,281
146,282
146,283
146,284
146,285
146,286
146,287
146,288
146,289
146,290
146,291
146,292
146,293
146,294
146,295
146,296
146,297
146,298
146,299
146,300
146,301
147,302
147,303
148,304
148,305
149,306
149,307
149,308
149,309
150,310
151,311
151,312
151,313
151,314
151,315
151,316
152,317
152,318
153,319
153,320
153,321
154,322
155,323
155,324
155,325
155,326
155,283
155,284
155,327
155,328
155,329
155,330
155,331
155,332
156,333
156,334
156,335
157,336
157,337
157,338
157,339
157,340
158,341
159,342
159,343
159,328
159,280
159,288
159,293
159,344
159,345
159,346
159,281
159,297
160,347
161,348
161,349
163,350
164,341
164,351
166,352
167,353
168,354
169,355
169,356
169,357
169,358
170,359
170,360
171,361
172,362
172,363
173,364
174,365
174,366
174,367
176,368
177,369
178,370
179,371
179,372
179,373
179,374
180,375
180,376
180,304
181,377
181,378
181,379
181,380
182,381
183,382
184,383
184,384
185,385
186,386
186,387
187,388
187,389
188,390
189,391
189,392
190,393
191,394
192,395
192,396
193,397
194,398
194,399
194,400
196,401
197,402
197,403
198,404
198,405
199,406
199,407
199,408
200,409
200,410
201,411
201,412
201,413
201,414
201,415
201,416
201,417
201,418
202,419
202,420
203,421
204,422
205,423
205,424
205,425
206,426
207,427
208,428
208,429
208,430
209,431
210,432
210,433
211,434
211,435
212,436
212,437
213,438
213,439
214,440
215,441
216,442
216,443
217,444
218,445
218,446
218,447
220,448
220,449
221,450
222,451
222,452
223,453
224,454
224,455
225,456
226,457
227,458
227,459
228,460
228,461
229,462
229,463
230,464
230,465
231,466
232,467
232,468
232,469
233,470
233,471
234,472
235,473
235,474
236,475
237,476
237,477
238,478
238,479
239,480
240,481
240,482
240,483
242,484
242,485
242,269
242,486
242,487
242,488
242,489
242,490
242,491
242,492
243,493
243,494
244,495
245,496
247,497
248,498
248,499
249,500
249,501
249,502
249,503
249,504
250,505
251,506
252,507
253,508
253,509
253,510
254,511
254,512
256,513
256,365
257,514
258,515
258,516
259,517
259,518
260,519
261,520
261,521
261,522
262,523
262,524
264,525
264,526
265,527
265,528
266,529
266,530
267,531
267,532
267,533
267,534
268,535
268,536
268,537
269,538
269,539
270,540
270,541
271,542
272,543
272,544
274,545
275,546
275,547
275,548
276,549
276,550
277,551
278,552
278,553
278,554
278,555
279,556
279,557
279,558
279,559
279,412
279,413
280,560
281,561
281,562
281,563
281,564
282,472
283,565
284,566
285,567
285,568
285,569
285,570
286,545
286,571
287,572
287,573
288,574
288,575
289,576
290,577
290,578
291,579
291,580
292,581
293,582
293,583
294,584
295,585
295,586
295,587
296,588
297,589
297,590
297,591
298,592
299,593
299,594
299,595
300,596
300,597
301,598
301,599
302,600
302,601
303,602
304,603
304,604
304,605
304,606
304,607
304,608
305,609
306,610
307,611
308,612
309,613
310,614
311,615
311,616
312,617
313,618
314,619
314,620
314,621
315,622
316,571
317,623
318,272
318,624
318,553
319,625
319,626
321,627
322,628
323,629
323,630
324,631
325,632
325,633
326,634
327,635
328,636
329,637
330,638
330,639
331,640
332,641
332,642
333,643
334,644
334,645
335,646
336,647
337,648
338,649
338,650
340,651
341,652
341,653
341,654
341,655
342,656
343,657
345,658
346,659
346,660
346,661
347,662
348,413
348,412
348,190
348,663
349,664
350,86
350,665
352,666
353,667
353,668
354,669
355,670
356,671
356,672
357,673
357,674
358,675
359,676
360,677
360,678
361,679
362,680
362,681
363,682
365,683
365,684
366,685
367,686
369,687
370,688
371,339
373,689
374,690
374,691
375,692
378,693
379,694
379,695
380,696
380,697
381,698
381,699
382,700
382,701
382,693
383,702
384,703
384,704
384,705
385,706
385,707
387,708
387,709
387,710
389,711
390,712
390,713
390,714
390,715
390,716
390,717
391,718
392,719
393,720
394,721
395,722
395,723
395,724
395,725
395,726
397,727
398,728
398,729
398,730
400,731
401,732
401,733
401,734
401,735
402,736
402,737
402,738
403,739
403,740
403,741
403,742
403,743
403,744
404,745
404,746
404,747
405,748
405,749
405,750
405,751
405,752
406,753
406,754
408,755
408,756
408,757
409,758
410,759
411,760
411,761
412,762
412,763
412,764
413,765
414,766
414,767
414,768
415,769
415,770
416,771
416,772
416,773
417,774
417,775
417,776
417,777
418,778
418,779
418,780
419,781
419,782
420,783
420,784
420,785
421,786
422,787
425,788
426,789
426,790
428,791
428,792
430,793
430,794
431,795
432,796
432,797
433,798
433,799
435,800
436,801
437,802
437,803
438,804
439,805
440,806
441,404
441,405
442,807
442,808
443,809
443,810
444,811
445,812
445,813
446,814
446,815
447,816
448,817
448,818
448,819
449,820
450,821
450,822
451,823
451,824
452,825
453,826
454,827
454,828
455,829
455,830
455,831
455,832
456,833
457,834
457,835
458,836
458,837
459,838
459,839
459,840
460,841
461,842
461,843
462,844
463,845
463,846
463,847
463,848
463,849
463,850
465,851
465,852
466,853
467,854
468,311
468,312
468,855
468,856
469,857
470,858
471,859
472,860
474,861
474,862
474,863
474,864
474,865
474,866
475,867
475,868
476,869
476,870
476,339
476,871
476,872
477,873
477,874
477,875
478,876
478,877
479,878
480,879
480,880
481,881
482,882
483,883
484,884
484,885
485,886
486,887
486,752
486,888
486,571
486,587
487,889
487,890
488,891
489,892
490,893
491,894
491,895
491,896
491,897
491,898
491,899
492,900
493,901
493,902
494,903
495,904
496,905
496,906
497,907
498,840
499,908
500,272
500,909
501,910
501,911
501,912
501,913
502,914
503,915
504,916
505,917
506,918
507,919
507,920
508,921
509,922
510,923
510,924
511,925
512,926
512,927
513,252
513,928
514,929
515,930
516,931
516,932
516,933
516,934
518,935
519,936
519,937
520,938
520,939
521,940
522,941
523,553
524,942
524,943
525,944
526,945
526,946
526,947
526,948
527,949
527,950
528,179
528,951
529,952
530,953
531,954
531,955
531,956
533,957
533,958
534,196
534,959
534,429
534,430
535,960
535,961
535,962
535,963
536,964
537,965
538,966
539,967
539,968
540,969
540,970
541,971
541,972
542,973
542,974
543,975
544,976
544,977
545,978
545,979
545,980
545,981
546,982
546,983
547,984
547,985
548,986
549,987
549,988
549,989
550,990
551,991
551,992
551,993
551,994
551,995
551,996
552,997
552,998
553,999
553,1000
554,1001
555,1002
556,1003
557,1004
557,1005
558,1006
559,1007
559,1008
559,1009
560,1010
560,1011
562,1012
563,752
564,1013
565,1014
565,45
566,1015
566,1016
567,1017
567,1018
568,1019
571,1020
572,1021
573,1022
573,723
573,1023
574,1024
574,1025
574,1026
574,1027
