id,Title,Year,Runtime,Rating,Language,Country
107,April Captains,2000,123 min,7.1,Portuguese,"Portugal, Spain, Italy, France"
108,Giving It Up,1999,90 min,4.3,English,USA
109,Chicken Run,2000,84 min,7.0,English,"UK, USA, France"
110,The Deep End of the Ocean,1999,106 min,6.4,English,USA
111,Dogma,1999,130 min,7.3,English,USA
112,The 13th Warrior,1999,102 min,6.6,"English, Latin, Swedish, Norse,  Old, Danish, Arabic",USA
113,On the Run,1999,94 min,6.1,English,"USA, Portugal, France"
114,Eye of the Beholder,1999,109 min,5.1,English,"Canada, UK, Australia, USA"
115,Eyes Wide Shut,1999,159 min,7.4,English,"UK, USA"
116,The First Gentleman,1999,60 min,7.0,English,USA
117,Foiled,2000,78 min,6.2,English,UK
118,Frida,2002,123 min,7.4,"English, French, Russian","Mexico, USA, UK"
119,From Hell,2001,122 min,6.8,English,"USA, Czech Republic, UK"
120,Gloria,1999,108 min,5.2,English,USA
121,The Green Mile,1999,189 min,8.6,"English, French",USA
122,The Highwayman,2000,94 min,4.5,English,"USA, Canada"
123,In Dreams,1999,100 min,5.5,English,USA
124,Jakob the Liar,1999,120 min,6.6,English,"France, Hungary, USA"
125,Last Flight of the Raven,2000,,,English,USA
126,Lion of Oz,2000,74 min,5.7,English,Canada
127,The Lord of the Rings: The Fellowship of the Ring,2001,178 min,8.8,"English, Sindarin","New Zealand, USA"
128,"Mike Mercer, Freshman",1999,,,English,USA
129,The Million Dollar Hotel,2000,122 min,5.9,English,"Germany, UK, USA"
130,Mission: Impossible II,2000,123 min,6.1,English,"USA, Germany"
131,The Mod Squad,1999,92 min,4.3,English,USA
132,My Favorite Martian,1999,94 min,5.1,English,USA
133,One Man's Hero,1999,121 min,6.1,"English, Spanish","Mexico, USA, Spain"
134,Payback,1999,100 min,7.1,English,USA
135,Jaime,1999,111 min,7.0,Portuguese,"Portugal, Brazil, Luxembourg"
136,Pushing Tin,1999,124 min,6.0,"English, French","USA, Germany"
137,When It Thunders,1999,92 min,5.6,Portuguese,Portugal
138,RKO 281,1999,86 min,7.0,English,"USA, UK"
139,Resident Evil,2002,100 min,6.7,English,"UK, Germany, USA"
140,Ricochet River,2001,112 min,4.6,English,USA
141,Sherdil,1999,97 min,3.8,Swedish,Sweden
142,The Shipping News,2001,111 min,6.7,English,"Canada, USA"
143,The Sky Is Falling,1999,105 min,6.6,English,USA
144,Snow Falling on Cedars,1999,127 min,6.7,"English, Japanese, German",USA
145,Lost & Found,1999,100 min,5.0,English,USA
146,Tarzan,1999,88 min,7.3,English,USA
147,Tea with Mussolini,1999,117 min,6.9,"English, Italian","Italy, UK"
148,Titus,1999,162 min,7.1,"English, Latin","UK, Italy, USA"
149,Trance,2002,,4.7,English,USA
150,Don't Go Breaking My Heart,1999,95 min,5.4,English,UK
151,Wild Wild West,1999,106 min,5.0,English,USA
152,My Life So Far,1999,98 min,6.4,English,"UK, USA"
153,X-Men,2000,104 min,7.4,English,USA
154,eXistenZ,1999,97 min,6.8,English,"UK, France, Canada"
155,Fantasia 2000,1999,75 min,7.2,English,USA
156,Men in Black II,2002,88 min,6.2,English,USA
157,Titan A.E.,2000,94 min,6.6,"English, Mandarin",USA
158,Star Wars: Episode I - The Phantom Menace,1999,136 min,6.5,English,USA
159,The Emperor's New Groove,2000,78 min,7.3,English,USA
160,The Coroner,1999,74 min,2.7,English,USA
161,Facas e Anjos,2000,90 min,6.2,Portuguese,Portugal
162,On Parole,2001,,,English,USA
